LOAN_ID,LOAN_STATUS,LOAN_AMOUNT,LOAN_TERM,INTREST,INSTALLMENT,GRADE,PURPOSE,HOME_OWNERSHIP,ANNUAL_INCOME,AVERAGE_CURRENT_BALANCE,TOTAL_CURRENT_BALANCE,ISSUE_YEAR,STATE,SUBREGION
104947,Current,10200, 60 months,14.31,238.98,C,Debt_consolidation,Mortgage,52380,17967,233574,2014,NJ,Middle Atlantic
48353,Fully Paid,6400, 36 months,18.85,234.12,D,Vacation,Rent,65540,1301,22114,2013,CT,New England
230259,Fully Paid,25225, 36 months,18.49,918.16,D,Debt_consolidation,Rent,56785,4183,25099,2013,NY,Middle Atlantic
77518,Current,9175, 36 months,14.99,318.01,C,Debt_consolidation,Rent,39504,877,6137,2014,MA,New England
98485,Fully Paid,10000, 36 months,18.75,365.3,D,Credit_card,Rent,55260,1275,22943,2013,NJ,Middle Atlantic
182879,Fully Paid,18675, 60 months,15.59,450.09,D,Debt_consolidation,Mortgage,52200,3225,38699,2014,NJ,Middle Atlantic
136468,Current,13575, 60 months,11.99,301.9,B,Debt_consolidation,Rent,36400,2731,24579,2014,NJ,Middle Atlantic
238274,Fully Paid,28800, 36 months,13.11,971.92,B,Credit_card,Own,127000,42495,297463,2013,NY,Middle Atlantic
109003,Fully Paid,11000, 36 months,6.62,337.75,A,Car,Mortgage,95000,153166,612665,2013,MA,New England
200681,Current,20000, 60 months,17.56,503.1,D,Credit_card,Mortgage,84900,17191,292241,2013,NJ,Middle Atlantic
83009,Fully Paid,10000, 36 months,6.03,304.36,A,Debt_consolidation,Mortgage,40000,30887,123547,2013,MA,New England
41569,Current,6000, 36 months,9.49,192.17,B,Credit_card,Mortgage,40000,16624,149616,2014,NJ,Middle Atlantic
87847,Fully Paid,10000, 36 months,8.9,317.54,A,Other,Rent,31260,2456,31932,2012,CT,New England
7597,Charged Off,2500, 36 months,14.09,85.56,B,Medical,Rent,32000,1754,15787,2012,NY,Middle Atlantic
36028,Current,5400, 36 months,14.99,187.17,C,Other,Mortgage,47000,4055,24328,2014,CT,New England
145333,Charged Off,15000, 60 months,18.85,387.88,D,Home_improvement,Mortgage,42500,1791,16121,2013,MA,New England
175993,Charged Off,18000, 60 months,22.47,501.97,E,Debt_consolidation,Mortgage,50000,2242,11209,2012,MA,New England
96698,Charged Off,10000, 36 months,15.31,348.18,C,Debt_consolidation,Rent,42000,1529,21410,2012,NY,Middle Atlantic
98648,Fully Paid,10000, 36 months,19.05,366.82,D,Home_improvement,Mortgage,29484,2421,7264,2013,NJ,Middle Atlantic
26397,Current,5000, 36 months,7.49,155.51,A,Other,Mortgage,38000,16715,117008,2014,RI,New England
26397,Current,5000, 36 months,7.49,155.51,A,Other,Mortgage,38000,16715,117008,2014,RI,New England
211765,Current,22750, 60 months,15.31,544.93,C,Credit_card,Mortgage,80000,30252,332769,2013,NJ,Middle Atlantic
107797,Fully Paid,10675, 36 months,14.33,366.56,C,Credit_card,Mortgage,48000,2014,28199,2013,NJ,Middle Atlantic
1663,Fully Paid,1200, 36 months,19.05,44.02,D,Other,Rent,30000,1856,7425,2013,CT,New England
116454,Fully Paid,12000, 36 months,6.49,367.74,A,Debt_consolidation,Own,46800,48173,240865,2014,MA,New England
22942,Fully Paid,4725, 36 months,19.72,174.93,D,Home_improvement,Own,17000,4436,17745,2012,RI,New England
22942,Fully Paid,4725, 36 months,19.72,174.93,D,Home_improvement,Own,17000,4436,17745,2012,RI,New England
53334,Charged Off,7000, 36 months,10.16,226.4,B,Debt_consolidation,Mortgage,120000,22679,294822,2012,NJ,Middle Atlantic
50289,Charged Off,6500, 36 months,17.27,232.62,C,Debt_consolidation,Rent,22300,1293,10342,2013,MA,New England
57191,Current,7200, 36 months,12.99,242.57,C,Home_improvement,Mortgage,80000,40660,243962,2014,VT,New England
57191,Current,7200, 36 months,12.99,242.57,C,Home_improvement,Mortgage,80000,40660,243962,2014,VT,New England
221838,Fully Paid,25000, 36 months,6.49,766.12,A,Home_improvement,Mortgage,110000,1722,10329,2014,NJ,Middle Atlantic
24751,Fully Paid,4950, 36 months,8.9,157.18,A,Credit_card,Own,17184,1929,5788,2013,NJ,Middle Atlantic
80869,Charged Off,9750, 36 months,12.99,328.47,B,Credit_card,Rent,30000,15810,94859,2013,NJ,Middle Atlantic
259312,Current,35000, 60 months,13.98,814.03,C,Debt_consolidation,Mortgage,85000,33430,334297,2014,CT,New England
237844,Current,28100, 60 months,21.6,769.72,E,Credit_card,Rent,63000,3192,41496,2013,NJ,Middle Atlantic
44798,Fully Paid,6000, 36 months,13.68,204.14,C,Debt_consolidation,Mortgage,85000,49796,248978,2013,CT,New England
214352,Current,24000, 60 months,15.8,581.09,C,Debt_consolidation,Rent,56000,4932,59182,2013,NY,Middle Atlantic
226341,Current,25000, 60 months,8.67,514.97,B,Credit_card,Rent,100000,2816,61944,2014,NJ,Middle Atlantic
91171,Fully Paid,10000, 36 months,11.14,328.06,B,Home_improvement,Rent,32000,33739,168697,2013,NY,Middle Atlantic
193130,Fully Paid,20000, 36 months,12.12,665.44,B,Credit_card,Mortgage,72000,4337,56375,2012,MA,New England
185657,Charged Off,19375, 36 months,8.9,615.22,A,Credit_card,Mortgage,105000,30978,340760,2013,NJ,Middle Atlantic
113201,Fully Paid,11325, 36 months,15.8,397.04,C,Debt_consolidation,Rent,33000,3844,30750,2012,MA,New England
158967,Late (31-120 days),15000, 60 months,23.99,431.44,F,Debt_consolidation,Mortgage,53500,55503,166509,2014,NJ,Middle Atlantic
220434,Fully Paid,24000, 60 months,21.98,662.59,E,Debt_consolidation,Mortgage,68000,21612,151282,2012,NJ,Middle Atlantic
93970,Fully Paid,10000, 36 months,12.99,336.9,B,Debt_consolidation,Own,37000,1901,9506,2014,NJ,Middle Atlantic
29149,Fully Paid,5000, 36 months,10.99,163.67,B,Other,Mortgage,50000,11835,142024,2014,NJ,Middle Atlantic
46724,Fully Paid,6000, 36 months,22.45,230.55,E,Debt_consolidation,Rent,30732,926,6484,2014,NJ,Middle Atlantic
50580,Fully Paid,6600, 36 months,9.67,211.95,B,Credit_card,Rent,18000,1103,6615,2014,CT,New England
77647,Fully Paid,9250, 36 months,7.9,289.44,A,Credit_card,Rent,40000,2486,27349,2014,MA,New England
50536,Late (31-120 days),6600, 36 months,7.9,206.52,A,Credit_card,Rent,21000,5417,59582,2014,VT,New England
50536,Late (31-120 days),6600, 36 months,7.9,206.52,A,Credit_card,Rent,21000,5417,59582,2014,VT,New England
173000,Charged Off,17000, 36 months,14.64,586.32,C,Credit_card,Own,60000,4586,27518,2014,NY,Middle Atlantic
166243,Fully Paid,16000, 60 months,8.18,325.81,B,Home_improvement,Own,65000,1162,11618,2015,NJ,Middle Atlantic
140663,Current,14000, 60 months,15.61,337.56,D,Debt_consolidation,Mortgage,50000,11061,66365,2015,NJ,Middle Atlantic
24894,Fully Paid,5000, 36 months,11.53,164.96,B,Debt_consolidation,Own,24000,931,11172,2015,CT,New England
68120,Charged Off,8000, 36 months,14.65,275.96,C,Home_improvement,Own,60000,1726,29337,2015,NJ,Middle Atlantic
35592,Fully Paid,5300, 36 months,17.77,191,D,Credit_card,,0,0,0,2012,CA,19200
53158,Charged Off,7000, 36 months,9.49,224.2,B,Other,Mortgage,29004,2653,21225,2014,OR,Pacific
69120,Fully Paid,8000, 36 months,17.77,288.3,D,Other,,0,0,0,2013,MD,19200
110070,Fully Paid,11000, 36 months,11.44,362.43,B,Credit_card,,0,0,0,2014,WV,South Atlantic
176216,Charged Off,18000, 60 months,21.49,491.94,E,Small_business,,0,0,0,2013,FL,19200
208066,Current,21500, 60 months,21.98,593.57,E,Debt_consolidation,,0,0,0,2013,TX,West South Central
208066,Current,21500, 60 months,21.98,593.57,E,Debt_consolidation,,0,0,0,2013,TX,West South Central
23010,Fully Paid,4750, 36 months,21.49,180.16,E,Other,,0,0,0,2012,FL,19200
41255,Fully Paid,6000, 36 months,8.9,190.52,A,Debt_consolidation,,0,0,0,2012,NY,Middle Atlantic
45865,Fully Paid,6000, 36 months,16.2,211.54,C,Debt_consolidation,,0,0,0,2013,CA,19200
76446,Fully Paid,9000, 36 months,13.68,306.21,C,Debt_consolidation,,0,0,0,2013,WY,Mountain
90101,Fully Paid,10000, 36 months,10.64,325.69,B,Debt_consolidation,,0,0,0,2013,CA,19200
103728,Current,10000, 60 months,20.99,270.48,E,Vacation,,0,0,0,2014,VA,South Atlantic
121529,Current,12000, 36 months,12.49,401.39,B,Debt_consolidation,,0,0,0,2014,CA,19200
175422,Fully Paid,17625, 36 months,13.68,599.65,C,Debt_consolidation,,0,0,0,2013,OK,West South Central
183431,Fully Paid,19000, 36 months,6.03,578.28,A,Debt_consolidation,,0,0,0,2013,GA,19200
187203,Fully Paid,20000, 36 months,12.12,665.44,B,Debt_consolidation,,0,0,0,2013,NY,Middle Atlantic
212623,Fully Paid,23000, 60 months,10.16,490.5,B,Credit_card,,0,0,0,2013,FL,19200
221652,Fully Paid,24925, 60 months,20.49,667.18,E,Debt_consolidation,,0,0,0,2012,AZ,Mountain
253512,Fully Paid,35000, 60 months,20.49,936.86,E,Debt_consolidation,,0,0,0,2013,WI,East North Central
16429,Fully Paid,3850, 36 months,13.11,129.93,B,Credit_card,,0,0,0,2013,CA,19200
25329,Fully Paid,5000, 36 months,6.03,152.18,A,Debt_consolidation,,0,0,0,2013,NY,Middle Atlantic
33127,Charged Off,5000, 36 months,16.49,177,D,Debt_consolidation,,0,0,0,2014,WA,19200
36597,Fully Paid,5500, 36 months,10.16,177.89,B,Small_business,,0,0,0,2012,NC,South Atlantic
45058,Fully Paid,6000, 36 months,14.09,205.33,B,Debt_consolidation,,0,0,0,2013,NY,Middle Atlantic
80865,Fully Paid,9750, 36 months,12.35,325.48,B,Home_improvement,,0,0,0,2013,TX,West South Central
80865,Fully Paid,9750, 36 months,12.35,325.48,B,Home_improvement,,0,0,0,2013,TX,West South Central
115487,Fully Paid,12000, 36 months,8.9,381.04,A,Debt_consolidation,,0,0,0,2012,MA,New England
144632,Fully Paid,15000, 36 months,7.9,469.36,A,Debt_consolidation,,0,0,0,2012,CO,Mountain
168583,Charged Off,16000, 60 months,16.49,393.27,D,Debt_consolidation,,0,0,0,2014,NY,Middle Atlantic
218157,Current,24000, 60 months,12.12,535.33,B,Car,,0,0,0,2013,CA,19200
32782,Fully Paid,5000, 36 months,15.8,175.3,C,Credit_card,,0,0,0,2013,PA,Middle Atlantic
32782,Fully Paid,5000, 36 months,15.8,175.3,C,Credit_card,,0,0,0,2013,PA,Middle Atlantic
45560,Fully Paid,6000, 36 months,15.31,208.91,C,Debt_consolidation,,0,0,0,2012,FL,19200
45570,Fully Paid,6000, 36 months,15.31,208.91,C,Debt_consolidation,,0,0,0,2012,FL,19200
48286,Fully Paid,6375, 36 months,17.77,229.74,D,Debt_consolidation,,0,0,0,2012,CA,19200
81457,Fully Paid,9950, 36 months,12.35,332.15,B,Credit_card,,0,0,0,2013,WV,South Atlantic
86221,Fully Paid,10000, 36 months,7.9,312.91,A,Debt_consolidation,,0,0,0,2013,PA,Middle Atlantic
86221,Fully Paid,10000, 36 months,7.9,312.91,A,Debt_consolidation,,0,0,0,2013,PA,Middle Atlantic
123866,Fully Paid,12000, 36 months,18.75,438.36,D,Debt_consolidation,,0,0,0,2013,OK,West South Central
133956,Fully Paid,13000, 36 months,19.05,476.86,D,Debt_consolidation,,0,0,0,2012,NJ,Middle Atlantic
180903,Current,18000, 60 months,16.99,447.25,D,Debt_consolidation,,0,0,0,2014,IL,East North Central
230882,Current,25600, 60 months,19.99,678.11,E,Debt_consolidation,,0,0,0,2014,FL,19200
255204,Fully Paid,35000, 36 months,11.14,1148.18,B,Debt_consolidation,,0,0,0,2013,VA,South Atlantic
15790,Fully Paid,3600, 36 months,16.29,127.09,C,Debt_consolidation,,0,0,0,2013,MD,19200
18386,Fully Paid,4000, 36 months,11.55,132,B,Debt_consolidation,,0,0,0,2013,NY,Middle Atlantic
45875,Fully Paid,6000, 36 months,16.29,211.81,C,Debt_consolidation,,0,0,0,2013,NV,Mountain
57973,Fully Paid,7300, 36 months,11.14,239.48,B,Debt_consolidation,,0,0,0,2013,WA,19200
59970,Fully Paid,7500, 36 months,18.75,273.98,D,Credit_card,,0,0,0,2013,FL,19200
77681,Current,9250, 36 months,16.99,329.75,D,Debt_consolidation,Rent,25732,1087,8695,2014,GA,19200
92014,Fully Paid,10000, 36 months,11.55,330,B,Credit_card,Mortgage,57000,8423,126342,2013,GA,19200
149125,Fully Paid,15000, 36 months,9.71,481.97,B,Home_improvement,,0,0,0,2013,WA,19200
208917,Fully Paid,22000, 36 months,8.9,698.58,A,Debt_consolidation,Rent,103000,3012,27111,2013,NY,Middle Atlantic
214410,Charged Off,24000, 36 months,8.9,762.08,A,Debt_consolidation,,0,0,0,2013,CA,19200
54233,Fully Paid,7000, 36 months,12.35,233.68,B,Debt_consolidation,Mortgage,95000,23133,370135,2013,TN,East South Central
72921,Fully Paid,8500, 36 months,17.27,304.2,C,Credit_card,,0,0,0,2012,VA,South Atlantic
116031,Fully Paid,12000, 36 months,6.03,365.23,A,Debt_consolidation,,0,0,0,2013,NV,Mountain
122719,Fully Paid,12000, 36 months,14.33,412.06,C,Debt_consolidation,,0,0,0,2012,MA,New England
129320,Charged Off,12250, 60 months,14.33,287.14,C,Debt_consolidation,,0,0,0,2013,VA,South Atlantic
139279,Charged Off,14000, 36 months,14.09,479.1,B,Debt_consolidation,,0,0,0,2013,TX,West South Central
139279,Charged Off,14000, 36 months,14.09,479.1,B,Debt_consolidation,,0,0,0,2013,TX,West South Central
209360,Fully Paid,22000, 36 months,8.9,698.58,A,Debt_consolidation,,0,0,0,2013,NV,Mountain
214702,Fully Paid,24000, 36 months,6.03,730.46,A,Debt_consolidation,,0,0,0,2013,TN,East South Central
216507,Fully Paid,24000, 36 months,12.35,801.17,B,Debt_consolidation,,0,0,0,2013,MA,New England
83027,Fully Paid,10000, 36 months,6.03,304.36,A,Debt_consolidation,,0,0,0,2012,NY,Middle Atlantic
101606,Charged Off,10000, 60 months,14.33,234.4,C,Credit_card,,0,0,0,2013,TX,West South Central
101606,Charged Off,10000, 60 months,14.33,234.4,C,Credit_card,,0,0,0,2013,TX,West South Central
